ID,STATE,ROLE,GRADE,SCHOOL_TYPE,EXPERIENCE,TAGS,DEVICES,PARTNERS,FEATURES,SUBJECT
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,Biology
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,Chemistry
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,Geography
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,Algebra1
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,Art
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,PreAlgebra
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,Spanish
836,AZ,Teacher,High,Public,sixTen,CommonCore,Other,No response,No response,Physics
836,AZ,Teacher,High,Public,sixTen,CommonCore,Other,No response,No response,Math
836,AZ,Teacher,High,Public,sixTen,CommonCore,Other,No response,No response,Albebra2
836,AZ,Teacher,High,Public,sixTen,CommonCore,Other,No response,No response,Geometry
836,AZ,Teacher,High,Public,sixTen,CommonCore,Other,No response,No response,PreCalc
836,AZ,Teacher,High,Public,sixTen,CommonCore,Other,No response,No response,Science
836,AZ,Teacher,High,Public,sixTen,CommonCore,Other,No response,No response,Algebra1
836,AZ,Teacher,High,Public,sixTen,CommonCore,Other,No response,No response,Calculus
866,MI,Teacher,Other,Public,twentyMore,Other,BYOT,No response,No response,Math
866,MI,Teacher,Other,Public,twentyMore,Other,BYOT,No response,No response,Albebra2
866,MI,Teacher,Other,Public,twentyMore,Other,BYOT,No response,No response,PreCalc
866,MI,Teacher,Other,Public,twentyMore,Other,BYOT,No response,No response,otherMath
866,MI,Teacher,Other,Public,twentyMore,Other,BYOT,No response,No response,Calculus
895,International,Teacher,Middle,Private,sixTen,na,computerLab,quizlet.com studystack.com ankiweb.com,"offline work would be great, multimedia in the quizzes, ability do download a quiz for online use. Thanks for making the classroom a more fun place to learn !",ForeignLanguage
895,International,Teacher,Middle,Private,sixTen,na,computerLab,quizlet.com studystack.com ankiweb.com,"offline work would be great, multimedia in the quizzes, ability do download a quiz for online use. Thanks for making the classroom a more fun place to learn !",ESL
895,International,Teacher,Middle,Private,sixTen,na,computerLab,quizlet.com studystack.com ankiweb.com,"offline work would be great, multimedia in the quizzes, ability do download a quiz for online use. Thanks for making the classroom a more fun place to learn !",French
987,CO,Teacher,High,Public,elevenFifteen,CommonCore,BYOT,"Mimio, smart",Mutiple answer ,History
1008,WV,Teacher,High,Public,zeroFive,State,BYOT,No response,No response,ForeignLanguage
1008,WV,Teacher,High,Public,zeroFive,State,BYOT,No response,No response,Spanish
1034,International,Teacher,University,Public,sixTen,Other,BYOT,No response,I cannot think of anything - I think that it is a fantastic tool!,ForeignLanguage
1034,International,Teacher,University,Public,sixTen,Other,BYOT,No response,I cannot think of anything - I think that it is a fantastic tool!,otherLang
1034,International,Teacher,University,Public,sixTen,Other,BYOT,No response,I cannot think of anything - I think that it is a fantastic tool!,Spanish
1081,TX,Teacher,High,Public,sixTen,State,computerLab,No response,No response,Physics
1081,TX,Teacher,High,Public,sixTen,State,computerLab,No response,No response,Science
1202,OR,Teacher,Elementary,Public,sixTen,CommonCore,1to1,Maybe with the text book industries. That could help create content quizzes all ready to go. Perhaps Google as well to help export results directly into a Google spreadsheet.,"The ability to change text features. Very simple additions like bold, underline and text color. Other fonts would be nice, but I would use the style features to help distinguish headings, titles, context clues and so on. ",Math
1202,OR,Teacher,Elementary,Public,sixTen,CommonCore,1to1,Maybe with the text book industries. That could help create content quizzes all ready to go. Perhaps Google as well to help export results directly into a Google spreadsheet.,"The ability to change text features. Very simple additions like bold, underline and text color. Other fonts would be nice, but I would use the style features to help distinguish headings, titles, context clues and so on. ",English
1202,OR,Teacher,Elementary,Public,sixTen,CommonCore,1to1,Maybe with the text book industries. That could help create content quizzes all ready to go. Perhaps Google as well to help export results directly into a Google spreadsheet.,"The ability to change text features. Very simple additions like bold, underline and text color. Other fonts would be nice, but I would use the style features to help distinguish headings, titles, context clues and so on. ",History
1202,OR,Teacher,Elementary,Public,sixTen,CommonCore,1to1,Maybe with the text book industries. That could help create content quizzes all ready to go. Perhaps Google as well to help export results directly into a Google spreadsheet.,"The ability to change text features. Very simple additions like bold, underline and text color. Other fonts would be nice, but I would use the style features to help distinguish headings, titles, context clues and so on. ",otherMath
1202,OR,Teacher,Elementary,Public,sixTen,CommonCore,1to1,Maybe with the text book industries. That could help create content quizzes all ready to go. Perhaps Google as well to help export results directly into a Google spreadsheet.,"The ability to change text features. Very simple additions like bold, underline and text color. Other fonts would be nice, but I would use the style features to help distinguish headings, titles, context clues and so on. ",Science
1202,OR,Teacher,Elementary,Public,sixTen,CommonCore,1to1,Maybe with the text book industries. That could help create content quizzes all ready to go. Perhaps Google as well to help export results directly into a Google spreadsheet.,"The ability to change text features. Very simple additions like bold, underline and text color. Other fonts would be nice, but I would use the style features to help distinguish headings, titles, context clues and so on. ",otherScience
1202,OR,Teacher,Elementary,Public,sixTen,CommonCore,1to1,Maybe with the text book industries. That could help create content quizzes all ready to go. Perhaps Google as well to help export results directly into a Google spreadsheet.,"The ability to change text features. Very simple additions like bold, underline and text color. Other fonts would be nice, but I would use the style features to help distinguish headings, titles, context clues and so on. ",Geography
1202,OR,Teacher,Elementary,Public,sixTen,CommonCore,1to1,Maybe with the text book industries. That could help create content quizzes all ready to go. Perhaps Google as well to help export results directly into a Google spreadsheet.,"The ability to change text features. Very simple additions like bold, underline and text color. Other fonts would be nice, but I would use the style features to help distinguish headings, titles, context clues and so on. ",Reading
1273,TN,Teacher,University,Private,elevenFifteen,na,BYOT,No response,No response,ForeignLanguage
1273,TN,Teacher,University,Private,elevenFifteen,na,BYOT,No response,No response,Spanish
1393,International,Teacher,Middle,Public,sixTen,na,computerLab,No response,No response,History
1497,International,Teacher,High,Private,sixTen,na,BYOT,No response,No response,Other
1743,IL,Tech,Middle,Public,sixteenTwenty,na,1to1,No response,No response,Other
1763,VA,Tech,Other,Private,zeroFive,Other,BYOT,Blackbaud - Student information system,Better student management Video ability to Draw (for showing math problems etc),ComputerScience
1788,CO,Tech,High,Public,sixteenTwenty,CommonCore,BYOT,No response,No response,Other
1915,PA,Teacher,High,Public,sixteenTwenty,CommonCore,BYOT,Not sure,Not sure sorry,English
2003,NY,Tech,na,na,sixTen,na,na,No response,No response,Other
2173,CA,Teacher,Elementary,Public,sixTen,CommonCore,1to1,No response,The ability for the students to draw,Math
2173,CA,Teacher,Elementary,Public,sixTen,CommonCore,1to1,No response,The ability for the students to draw,ForeignLanguage
2173,CA,Teacher,Elementary,Public,sixTen,CommonCore,1to1,No response,The ability for the students to draw,History
2173,CA,Teacher,Elementary,Public,sixTen,CommonCore,1to1,No response,The ability for the students to draw,Reading
2173,CA,Teacher,Elementary,Public,sixTen,CommonCore,1to1,No response,The ability for the students to draw,Health
2196,SC,Teacher,Middle,Private,zeroFive,Bloom,BYOT,No response,No response,ComputerScience
2196,SC,Teacher,Middle,Private,zeroFive,Bloom,BYOT,No response,No response,Other
2307,WY,Administrator,High,Public,elevenFifteen,na,1to1,No response,Wrong answers in space race take ship backwords,History
2448,MO,Teacher,University,Private,zeroFive,na,BYOT,No response,No response,Other
2484,NE,Teacher,Middle,Public,elevenFifteen,Other,1to1,No response,No response,History
2501,NC,Teacher,High,Public,elevenFifteen,State,computerLab,No response,No response,Physics
2501,NC,Teacher,High,Public,elevenFifteen,State,computerLab,No response,No response,otherScience
2503,PA,Librarian,Elementary,Public,twentyMore,CommonCore,1to1,No response,No response,ComputerScience
2516,NY,Teacher,High,Private,sixteenTwenty,na,1to1,No response,No response,Physics
2516,NY,Teacher,High,Private,sixteenTwenty,na,1to1,No response,No response,Math
2516,NY,Teacher,High,Private,sixteenTwenty,na,1to1,No response,No response,Science
2516,NY,Teacher,High,Private,sixteenTwenty,na,1to1,No response,No response,Calculus
2721,International,Teacher,High,Public,twentyMore,Other,BYOT,No response,Being able to use pictures and have the students name parts. An automatic grading system. Just like you already upgraded! Thank you from the Netherlands.,Science
2721,International,Teacher,High,Public,twentyMore,Other,BYOT,No response,Being able to use pictures and have the students name parts. An automatic grading system. Just like you already upgraded! Thank you from the Netherlands.,Biology
2900,AL,Teacher,High,Public,sixteenTwenty,CommonCore,BYOT,No response,No response,Science
2900,AL,Teacher,High,Public,sixteenTwenty,CommonCore,BYOT,No response,No response,Biology
2984,International,Teacher,High,Public,zeroFive,Other,BYOT,"edmodo, moodle, wordpress",ability to embed a quiz in a webpage or blog/edmodo page,Physics
2984,International,Teacher,High,Public,zeroFive,Other,BYOT,"edmodo, moodle, wordpress",ability to embed a quiz in a webpage or blog/edmodo page,Science
2990,International,Teacher,Middle,Public,elevenFifteen,na,BYOT,No response,No response,Physics
2990,International,Teacher,Middle,Public,elevenFifteen,na,BYOT,No response,No response,Math
2990,International,Teacher,Middle,Public,elevenFifteen,na,BYOT,No response,No response,Science
2990,International,Teacher,Middle,Public,elevenFifteen,na,BYOT,No response,No response,Biology
2990,International,Teacher,Middle,Public,elevenFifteen,na,BYOT,No response,No response,Chemistry
2990,International,Teacher,Middle,Public,elevenFifteen,na,BYOT,No response,No response,Calculus
3087,MO,Teacher,Elementary,Public,elevenFifteen,CommonCore,Other,No response,Drawing an answer like in InfuseLearning,Math
3087,MO,Teacher,Elementary,Public,elevenFifteen,CommonCore,Other,No response,Drawing an answer like in InfuseLearning,English
3087,MO,Teacher,Elementary,Public,elevenFifteen,CommonCore,Other,No response,Drawing an answer like in InfuseLearning,History
3087,MO,Teacher,Elementary,Public,elevenFifteen,CommonCore,Other,No response,Drawing an answer like in InfuseLearning,otherMath
3087,MO,Teacher,Elementary,Public,elevenFifteen,CommonCore,Other,No response,Drawing an answer like in InfuseLearning,Science
3113,International,Teacher,Middle,Public,sixteenTwenty,Bloom,BYOT,No response,No response,Math
3113,International,Teacher,Middle,Public,sixteenTwenty,Bloom,BYOT,No response,No response,Albebra2
3113,International,Teacher,Middle,Public,sixteenTwenty,Bloom,BYOT,No response,No response,Geometry
3113,International,Teacher,Middle,Public,sixteenTwenty,Bloom,BYOT,No response,No response,PreCalc
3113,International,Teacher,Middle,Public,sixteenTwenty,Bloom,BYOT,No response,No response,Algebra1
3190,MA,Teacher,High,Private,zeroFive,na,1to1,EDU2.0,No response,ComputerScience
3209,International,Administrator,High,Public,sixteenTwenty,Marzano,computerLab,No response,I am looking forward to the image capability. I ,ComputerScience
3209,International,Administrator,High,Public,sixteenTwenty,Marzano,computerLab,No response,I am looking forward to the image capability. I ,Music
3209,International,Administrator,High,Public,sixteenTwenty,Marzano,computerLab,No response,I am looking forward to the image capability. I ,Band
3240,International,Other,University,Public,twentyMore,Bloom,1to1,See my answers at dkr@wolfert.nl,See my answers at dkr@wolfert.nl,Other
3242,CA,Teacher,Elementary,Public,sixteenTwenty,CommonCore,1to1,Haiku LMS,Students draw and submit an image. ie. show me an equilateral triangle Share out a URL to students. ,Math
3242,CA,Teacher,Elementary,Public,sixteenTwenty,CommonCore,1to1,Haiku LMS,Students draw and submit an image. ie. show me an equilateral triangle Share out a URL to students. ,English
3242,CA,Teacher,Elementary,Public,sixteenTwenty,CommonCore,1to1,Haiku LMS,Students draw and submit an image. ie. show me an equilateral triangle Share out a URL to students. ,Music
3242,CA,Teacher,Elementary,Public,sixteenTwenty,CommonCore,1to1,Haiku LMS,Students draw and submit an image. ie. show me an equilateral triangle Share out a URL to students. ,History
3242,CA,Teacher,Elementary,Public,sixteenTwenty,CommonCore,1to1,Haiku LMS,Students draw and submit an image. ie. show me an equilateral triangle Share out a URL to students. ,Science
3242,CA,Teacher,Elementary,Public,sixteenTwenty,CommonCore,1to1,Haiku LMS,Students draw and submit an image. ie. show me an equilateral triangle Share out a URL to students. ,Geography
3242,CA,Teacher,Elementary,Public,sixteenTwenty,CommonCore,1to1,Haiku LMS,Students draw and submit an image. ie. show me an equilateral triangle Share out a URL to students. ,Reading
3242,CA,Teacher,Elementary,Public,sixteenTwenty,CommonCore,1to1,Haiku LMS,Students draw and submit an image. ie. show me an equilateral triangle Share out a URL to students. ,Art
3242,CA,Teacher,Elementary,Public,sixteenTwenty,CommonCore,1to1,Haiku LMS,Students draw and submit an image. ie. show me an equilateral triangle Share out a URL to students. ,PE
3242,CA,Teacher,Elementary,Public,sixteenTwenty,CommonCore,1to1,Haiku LMS,Students draw and submit an image. ie. show me an equilateral triangle Share out a URL to students. ,Health
3268,NY,Teacher,Middle,Public,sixTen,Bloom,BYOT,No response,No response,Math
3283,WI,Teacher,Other,Public,sixTen,na,BYOT,Prezi,No response,Other
3396,International,Teacher,Other,Public,twentyMore,na,BYOT,No response,auto correction. ad pictures,Math
3396,International,Teacher,Other,Public,twentyMore,na,BYOT,No response,auto correction. ad pictures,ForeignLanguage
3396,International,Teacher,Other,Public,twentyMore,na,BYOT,No response,auto correction. ad pictures,Geometry
3396,International,Teacher,Other,Public,twentyMore,na,BYOT,No response,auto correction. ad pictures,History
3396,International,Teacher,Other,Public,twentyMore,na,BYOT,No response,auto correction. ad pictures,Geography
3496,International,Teacher,University,Private,sixTen,na,1to1,unsure,unsure,ComputerScience
4070,International,Teacher,Middle,Public,sixTen,Bloom,BYOT,No response,Love the image feature. Thank you!,Math
4070,International,Teacher,Middle,Public,sixTen,Bloom,BYOT,No response,Love the image feature. Thank you!,English
4070,International,Teacher,Middle,Public,sixTen,Bloom,BYOT,No response,Love the image feature. Thank you!,History
4070,International,Teacher,Middle,Public,sixTen,Bloom,BYOT,No response,Love the image feature. Thank you!,Science
4070,International,Teacher,Middle,Public,sixTen,Bloom,BYOT,No response,Love the image feature. Thank you!,Geography
4070,International,Teacher,Middle,Public,sixTen,Bloom,BYOT,No response,Love the image feature. Thank you!,Reading
4070,International,Teacher,Middle,Public,sixTen,Bloom,BYOT,No response,Love the image feature. Thank you!,Art
4070,International,Teacher,Middle,Public,sixTen,Bloom,BYOT,No response,Love the image feature. Thank you!,PE
4070,International,Teacher,Middle,Public,sixTen,Bloom,BYOT,No response,Love the image feature. Thank you!,Health
4071,IN,Teacher,University,Private,twentyMore,na,computerLab,No response,No response,ComputerScience
4071,IN,Teacher,University,Private,twentyMore,na,computerLab,No response,No response,Math
4071,IN,Teacher,University,Private,twentyMore,na,computerLab,No response,No response,Science
4197,MA,Teacher,High,Public,sixTen,CommonCore,1to1,No response,No response,English
4220,MA,Teacher,High,Public,elevenFifteen,CommonCore,1to1,Aspen - X2 It would be nice if you could generate a report and it could be uploaded directly into our grading system. ,Math Type capabilities,Math
4220,MA,Teacher,High,Public,elevenFifteen,CommonCore,1to1,Aspen - X2 It would be nice if you could generate a report and it could be uploaded directly into our grading system. ,Math Type capabilities,Albebra2
4220,MA,Teacher,High,Public,elevenFifteen,CommonCore,1to1,Aspen - X2 It would be nice if you could generate a report and it could be uploaded directly into our grading system. ,Math Type capabilities,Geometry
4220,MA,Teacher,High,Public,elevenFifteen,CommonCore,1to1,Aspen - X2 It would be nice if you could generate a report and it could be uploaded directly into our grading system. ,Math Type capabilities,Algebra1
4226,MA,Teacher,High,Public,elevenFifteen,CommonCore,na,No response,"Math applications and equations, graphs",Math
4226,MA,Teacher,High,Public,elevenFifteen,CommonCore,na,No response,"Math applications and equations, graphs",Albebra2
4226,MA,Teacher,High,Public,elevenFifteen,CommonCore,na,No response,"Math applications and equations, graphs",Geometry
4226,MA,Teacher,High,Public,elevenFifteen,CommonCore,na,No response,"Math applications and equations, graphs",PreCalc
4226,MA,Teacher,High,Public,elevenFifteen,CommonCore,na,No response,"Math applications and equations, graphs",otherMath
4226,MA,Teacher,High,Public,elevenFifteen,CommonCore,na,No response,"Math applications and equations, graphs",Science
4226,MA,Teacher,High,Public,elevenFifteen,CommonCore,na,No response,"Math applications and equations, graphs",Algebra1
4226,MA,Teacher,High,Public,elevenFifteen,CommonCore,na,No response,"Math applications and equations, graphs",Calculus
4226,MA,Teacher,High,Public,elevenFifteen,CommonCore,na,No response,"Math applications and equations, graphs",PreAlgebra
4230,MA,Teacher,High,Public,sixTen,State,1to1,Can students save them as review games?,Love the images!,Science
4264,WA,Teacher,Other,Public,twentyMore,na,Other,No response,No response,Math
4277,International,Teacher,High,Public,zeroFive,na,1to1,No response,"Selecting random students, rewards system etc See www.classdojo.com",Math
4277,International,Teacher,High,Public,zeroFive,na,1to1,No response,"Selecting random students, rewards system etc See www.classdojo.com",Science
4277,International,Teacher,High,Public,zeroFive,na,1to1,No response,"Selecting random students, rewards system etc See www.classdojo.com",Chemistry
4286,IA,Tech,Other,Public,sixteenTwenty,CommonCore,1to1,Moodle Edmodo Google Apps,Linkable to You Tube videos so we can have students watch a short clip and respond...all within the Socrative interface. ,ComputerScience
4286,IA,Tech,Other,Public,sixteenTwenty,CommonCore,1to1,Moodle Edmodo Google Apps,Linkable to You Tube videos so we can have students watch a short clip and respond...all within the Socrative interface. ,Other
4288,AR,Administrator,High,Charter,elevenFifteen,CommonCore,Other,"Noredink, Edmodo, Shmoop, and penpalnews",No response,English
4298,TX,Teacher,Middle,Public,elevenFifteen,Bloom,BYOT,No response,No response,History
4331,International,Teacher,University,Private,elevenFifteen,na,1to1,Instructure Canvas LMS,"HTML embedding, video",Other
4469,FL,Teacher,Other,Public,twentyMore,CommonCore,Other,No response,No response,Other
4484,CA,Tech,Middle,Public,sixteenTwenty,CommonCore,1to1,No response,Being able to format text.,ComputerScience
4484,CA,Tech,Middle,Public,sixteenTwenty,CommonCore,1to1,No response,Being able to format text.,English
4488,IL,Tech,University,Public,sixTen,Bloom,computerLab,No response,Embed audio or video (YouTube) into a question,ComputerScience
4488,IL,Tech,University,Public,sixTen,Bloom,computerLab,No response,Embed audio or video (YouTube) into a question,Other
4513,NC,Teacher,Elementary,Public,sixteenTwenty,na,computerLab,google docs maybe,multiple images added to single questions. audio example to put with questions.,Music
4541,TX,Teacher,High,Public,sixTen,Other,1to1,"Glogster, google, Wikispaces",I would like to be able to embed or copy a hyperlink to a quiz. Save content.,Other
4602,LA,Teacher,Elementary,Public,twentyMore,CommonCore,Other,Edmodo,No response,Math
4602,LA,Teacher,Elementary,Public,twentyMore,CommonCore,Other,Edmodo,No response,History
4602,LA,Teacher,Elementary,Public,twentyMore,CommonCore,Other,Edmodo,No response,otherMath
4602,LA,Teacher,Elementary,Public,twentyMore,CommonCore,Other,Edmodo,No response,Science
4602,LA,Teacher,Elementary,Public,twentyMore,CommonCore,Other,Edmodo,No response,otherScience
4602,LA,Teacher,Elementary,Public,twentyMore,CommonCore,Other,Edmodo,No response,Geography
4634,,Teacher,University,Public,sixteenTwenty,na,1to1,No response,No response,ESL
4639,IL,Teacher,High,Public,sixteenTwenty,Other,computerLab,No response,No response,Choir
4639,IL,Teacher,High,Public,sixteenTwenty,Other,computerLab,No response,No response,Music
4639,IL,Teacher,High,Public,sixteenTwenty,Other,computerLab,No response,No response,Band
4713,CA,Administrator,Middle,Public,elevenFifteen,CommonCore,BYOT,No response,"rank order questions, matching options. ability to upload class rosters/ logins to verify who is answering questions.",Math
4713,CA,Administrator,Middle,Public,elevenFifteen,CommonCore,BYOT,No response,"rank order questions, matching options. ability to upload class rosters/ logins to verify who is answering questions.",Science
4718,IA,Administrator,High,Public,twentyMore,Other,computerLab,No response,No response,Math
4718,IA,Administrator,High,Public,twentyMore,Other,computerLab,No response,No response,Albebra2
4718,IA,Administrator,High,Public,twentyMore,Other,computerLab,No response,No response,Geometry
4718,IA,Administrator,High,Public,twentyMore,Other,computerLab,No response,No response,PreCalc
4718,IA,Administrator,High,Public,twentyMore,Other,computerLab,No response,No response,Algebra1
4718,IA,Administrator,High,Public,twentyMore,Other,computerLab,No response,No response,Calculus
4718,IA,Administrator,High,Public,twentyMore,Other,computerLab,No response,No response,PreAlgebra
4768,MI,Tech,Other,Public,elevenFifteen,CommonCore,1to1,No response,"Drawings, text-to-speech",Other
4863,WA,Teacher,University,Public,twentyMore,Other,BYOT,No response,No response,Science
4863,WA,Teacher,University,Public,twentyMore,Other,BYOT,No response,No response,otherScience
4871,International,Teacher,University,Public,sixTen,na,BYOT,No response,No response,Science
4871,International,Teacher,University,Public,sixTen,na,BYOT,No response,No response,Chemistry
4914,IA,Other,Other,na,twentyMore,Bloom,BYOT,No response,No response,Other
4920,GA,Teacher,na,na,elevenFifteen,na,na,No response,No response,Math
4920,GA,Teacher,na,na,elevenFifteen,na,na,No response,No response,ForeignLanguage
4920,GA,Teacher,na,na,elevenFifteen,na,na,No response,No response,Science
4927,AZ,Teacher,High,Public,twentyMore,na,1to1,x,The inclusion of images was the biggest one I've been waiting for.,Science
4927,AZ,Teacher,High,Public,twentyMore,na,1to1,x,The inclusion of images was the biggest one I've been waiting for.,Biology
4927,AZ,Teacher,High,Public,twentyMore,na,1to1,x,The inclusion of images was the biggest one I've been waiting for.,Chemistry
4930,CT,Teacher,High,Public,sixTen,CommonCore,BYOT,Edmodo and prezi,Student to student feedback form,English
5052,NJ,Teacher,High,Public,sixTen,CommonCore,BYOT,No response,No response,Math
5052,NJ,Teacher,High,Public,sixTen,CommonCore,BYOT,No response,No response,Albebra2
5052,NJ,Teacher,High,Public,sixTen,CommonCore,BYOT,No response,No response,Algebra1
5184,OH,Teacher,Elementary,Private,sixteenTwenty,CommonCore,1to1,No response,No response,Math
5184,OH,Teacher,Elementary,Private,sixteenTwenty,CommonCore,1to1,No response,No response,English
5184,OH,Teacher,Elementary,Private,sixteenTwenty,CommonCore,1to1,No response,No response,History
5184,OH,Teacher,Elementary,Private,sixteenTwenty,CommonCore,1to1,No response,No response,Geography
5184,OH,Teacher,Elementary,Private,sixteenTwenty,CommonCore,1to1,No response,No response,Reading
5197,PA,Teacher,High,Private,zeroFive,na,BYOT,No response,Equation editor such as MathType,Physics
5197,PA,Teacher,High,Private,zeroFive,na,BYOT,No response,Equation editor such as MathType,Math
5197,PA,Teacher,High,Private,zeroFive,na,BYOT,No response,Equation editor such as MathType,Albebra2
5197,PA,Teacher,High,Private,zeroFive,na,BYOT,No response,Equation editor such as MathType,Geometry
5197,PA,Teacher,High,Private,zeroFive,na,BYOT,No response,Equation editor such as MathType,PreCalc
5197,PA,Teacher,High,Private,zeroFive,na,BYOT,No response,Equation editor such as MathType,Other
5197,PA,Teacher,High,Private,zeroFive,na,BYOT,No response,Equation editor such as MathType,Science
5197,PA,Teacher,High,Private,zeroFive,na,BYOT,No response,Equation editor such as MathType,Algebra1
5197,PA,Teacher,High,Private,zeroFive,na,BYOT,No response,Equation editor such as MathType,Calculus
5203,OH,Teacher,High,Public,sixteenTwenty,Other,BYOT,Edmodo,No response,ForeignLanguage
5203,OH,Teacher,High,Public,sixteenTwenty,Other,BYOT,Edmodo,No response,Spanish
5243,IN,Teacher,High,Public,twentyMore,State,computerLab,No response,No response,Science
5243,IN,Teacher,High,Public,twentyMore,State,computerLab,No response,No response,otherScience
5245,International,Teacher,University,Public,sixTen,Other,BYOT,"google, moodle",No response,ESL
5333,AL,Other,University,na,twentyMore,na,BYOT,No response,No response,English
5414,WY,Teacher,Middle,Public,zeroFive,CommonCore,1to1,No response,"A way to give assessments while the teacher is out of the classroom. I like to give tests on sub days, but cannot currently use Socrative for that purpose.",History
5414,WY,Teacher,Middle,Public,zeroFive,CommonCore,1to1,No response,"A way to give assessments while the teacher is out of the classroom. I like to give tests on sub days, but cannot currently use Socrative for that purpose.",Geography
5439,MA,Teacher,Elementary,Private,twentyMore,CommonCore,1to1,No response,No response,otherMath
5439,MA,Teacher,Elementary,Private,twentyMore,CommonCore,1to1,No response,No response,Science
5440,CA,Teacher,High,Public,sixTen,na,BYOT,No response,No response,Math
5464,International,Teacher,Elementary,Private,twentyMore,Other,Other,No response,No response,ForeignLanguage
5464,International,Teacher,Elementary,Private,twentyMore,Other,Other,No response,No response,French
5468,International,Teacher,High,Private,sixteenTwenty,na,1to1,No response,No response,Math
5468,International,Teacher,High,Private,sixteenTwenty,na,1to1,No response,No response,Albebra2
5468,International,Teacher,High,Private,sixteenTwenty,na,1to1,No response,No response,Geometry
5468,International,Teacher,High,Private,sixteenTwenty,na,1to1,No response,No response,PreCalc
5468,International,Teacher,High,Private,sixteenTwenty,na,1to1,No response,No response,Algebra1
5468,International,Teacher,High,Private,sixteenTwenty,na,1to1,No response,No response,Calculus
5478,MN,Teacher,Elementary,Public,elevenFifteen,na,computerLab,No response,No response,Music
5502,WA,Other,Other,na,twentyMore,na,BYOT,No response,No response,Other
5545,International,Teacher,Middle,na,sixteenTwenty,Bloom,1to1,Explain Everthing,drawing,ComputerScience
5545,International,Teacher,Middle,na,sixteenTwenty,Bloom,1to1,Explain Everthing,drawing,History
5545,International,Teacher,Middle,na,sixteenTwenty,Bloom,1to1,Explain Everthing,drawing,Science
5545,International,Teacher,Middle,na,sixteenTwenty,Bloom,1to1,Explain Everthing,drawing,Geography
5569,TX,Tech,High,Public,sixTen,State,BYOT,Google-- so teachers can import / export directly to their Google Drive account.,Images embedded for individual Answer Choices.,Other
5608,SC,Teacher,High,Public,elevenFifteen,CommonCore,1to1,No response,No response,English
5788,NY,Teacher,High,Public,twentyMore,Bloom,BYOT,"Engrade, Nearpod, eClicker","The features you have had and recently added are all vital, but I currently don't have specific ideas for additional ones. Partnerships, to avoid duplication, are probably the next logical steps.",History
5788,NY,Teacher,High,Public,twentyMore,Bloom,BYOT,"Engrade, Nearpod, eClicker","The features you have had and recently added are all vital, but I currently don't have specific ideas for additional ones. Partnerships, to avoid duplication, are probably the next logical steps.",Geography
5807,KS,Teacher,High,Public,elevenFifteen,CommonCore,BYOT,No response,No response,Other
5830,International,Teacher,High,Public,sixTen,na,BYOT,No response,No response,Science
5830,International,Teacher,High,Public,sixTen,na,BYOT,No response,No response,Biology
5830,International,Teacher,High,Public,sixTen,na,BYOT,No response,No response,otherScience
